timestamp,open,high,low,close,volume,ema_20,ema_50,ema_200,rsi_14,macd,macd_signal,macd_hist,stoch_k,stoch_d,bb_upper,bb_lower,bb_mid,bb_width,atr_14,volume_sma_20,volume_ratio,above_ema200,above_ema50,ema_bullish,macd_bullish,rsi_oversold,rsi_overbought,high_volume,future_return_1h,future_return_4h,future_return_24h,hit_tp_before_sl,signal
2024-11-15,87284.1796875,91868.7421875,87124.8984375,91066.0078125,78243109518.0,78661.45385561859,71752.9384833843,64423.04783203125,76.9960707058652,5904.322150821681,4255.843058477895,1648.479092343786,85.7276854820808,87.9234291437846,92972.0224159988,59897.63461525119,76434.82851562499,0.4327135736817472,3647.8558461641287,63774411368.25,1.2268730959538612,1,1,1,1,0,1,0,1.4031,6.8234,6.116,0,HOLD
2024-11-16,91064.3671875,91763.9453125,90094.2265625,90558.4765625,44333192814.0,79794.50363722633,72490.41056491826,64683.10184924985,75.58960489333586,6107.06444698431,4626.087336179178,1480.9771108051318,85.69553274484437,85.74480769280572,94737.58296021206,60394.99203978792,77566.28749999999,0.4427515100606581,3506.5603392952626,65155005615.05,0.6804265059223567,1,1,1,1,0,1,0,4.1752,5.8601,8.5861,1,HOLD
2024-11-17,90558.4609375,91433.0390625,88741.6640625,89845.8515625,46350159305.0,80751.77486820478,73171.0160942352,64933.477468287165,73.55784417603456,6139.4643719324085,4928.762743329824,1210.7016286025846,88.94419133616722,86.7891365210308,96171.87323697734,60954.51113802266,78563.1921875,0.448267962621789,3448.332815059887,65532520747.45,0.7072848530216744,1,1,1,1,0,1,0,9.6375,6.8521,6.9894,1,HOLD
2024-11-18,89843.71875,92596.7890625,89393.59375,90542.640625,75535775084.0,81684.23827361385,73852.25627191225,65188.29501213506,74.28564260536595,6150.467835245785,5173.103761713017,977.364073532768,88.19779826833953,87.61250744978369,97613.24939506274,61295.349823687255,79454.299609375,0.4570916835202994,3430.8229934484666,66382215781.55,1.1378917409532163,1,1,1,1,0,1,0,9.3382,9.0851,6.6655,1,HOLD
2024-11-19,90536.8125,94002.8671875,90426.984375,92343.7890625,74521048295.0,82699.4335868411,74577.41442056275,65458.49893303421,76.1156801369182,6232.679337582536,5385.018876886921,847.6604606956153,89.55678635454026,88.89959198634901,99158.92218370092,61750.10203504909,80454.512109375,0.4649685787391997,3441.184409095005,68075936304.75,1.0946753337537318,1,1,1,1,0,1,0,5.884,4.6021,4.256,1,HOLD
2024-11-20,92341.890625,94902.0234375,91619.5,94339.4921875,71730956426.0,83808.01059642767,75352.39786240344,65745.87200024283,77.98520038302144,6385.263762916657,5585.067854092868,800.1959088237882,93.13027255428202,90.29495239238726,100693.446216739,62628.00847076104,81660.72734375001,0.466141301751353,3429.8514825525044,69631088522.25,1.0301570454852074,1,1,1,1,0,1,0,3.8948,5.9161,-3.0966,1,HOLD
2024-11-21,94334.640625,99014.21875,94132.6015625,98504.7265625,106024505582.0,85207.6978312917,76260.33232123076,66071.83075210609,81.2788539372476,6764.312835324672,5820.916850339229,943.3959849854429,96.1142485290681,92.93376914596344,102653.73367517404,63569.94679357596,83111.840234375,0.4702553423360858,3533.549032905897,72432824033.1,1.46376324542516,1,1,1,1,0,1,0,-5.4844,1.4401,-9.9168,0,HOLD
2024-11-22,98496.4296875,99655.5,97222.6640625,98997.6640625,78473580551.0,86521.02794854963,77151.99238951583,66399.45098405032,81.62914546604257,7023.525067720431,6061.438493815471,962.0865739049603,97.43677236412204,95.56043114915738,104231.4041312722,64963.11539997782,84597.25976562501,0.4641792043866005,3454.926668948333,75447272456.1,1.0401115639622478,1,1,1,1,0,1,0,-7.0833,2.261,-14.799,0,HOLD
2024-11-23,99006.7421875,99014.6796875,97232.890625,97777.28125,44414644677.0,87593.05207249729,77960.82724678972,66711.66820062693,77.7504215907607,7049.218927800059,6258.994580612389,790.22434718767,95.6435308989571,96.39818393071576,105029.7450478503,67068.39088964972,86049.06796875001,0.4411593879434791,3335.416839916309,75924589307.20001,0.584983667113338,1,1,1,1,0,1,0,-1.856,-0.3524,-13.3702,0,HOLD
2024-11-24,97778.09375,98647.1796875,95788.078125,98013.8203125,51712020623.0,88585.50619059277,78747.21913171954,67023.13240074507,77.96893125565288,7007.885678685241,6408.77280022696,599.1128784582816,93.54557950375472,95.54196092227794,105188.11734953133,69930.24983796872,87559.18359375001,0.4026746945831426,3301.3943201008587,76450949370.95,0.6764078281367902,1,1,1,1,0,1,0,-2.4092,-1.3655,-13.9172,0,HOLD
